t,f,ferr,mask
2905.376906,0.999661219,6.88139E-05,TRUE
2905.397338,0.999658721,6.87944E-05,FALSE
2905.41777,0.999710668,6.87501E-05,FALSE
2905.438202,0.999833316,6.87323E-05,FALSE
2905.458634,0.999763799,6.8707E-05,FALSE
2905.479067,1.000166805,6.86848E-05,FALSE
2905.499499,1.000378224,6.86292E-05,FALSE
2905.519931,1.000496239,6.85724E-05,FALSE
2905.540363,1.000484505,6.85424E-05,FALSE
2905.560795,1.000581964,6.88659E-05,TRUE
2905.581227,1.00019203,6.88719E-05,FALSE
2905.60166,1.000028721,6.88248E-05,FALSE
2905.622092,0.99986625,6.87656E-05,FALSE
2905.642524,0.999771775,6.87084E-05,FALSE
2905.662956,0.99915177,6.86323E-05,FALSE
2905.683388,0.999395739,6.8579E-05,FALSE
2905.70382,0.99952844,6.85112E-05,FALSE
2905.724253,0.999482086,6.84496E-05,FALSE
2905.744685,0.999690024,6.83985E-05,FALSE
2905.765117,1.0000054,6.83289E-05,FALSE
2905.785549,1.00049532,6.82652E-05,FALSE
2905.805981,1.000337318,6.87418E-05,TRUE
2905.826413,0.99996424,6.87251E-05,FALSE
2905.846846,1.000072791,6.86836E-05,FALSE
2905.867278,1.000091926,6.86228E-05,FALSE
2905.88771,1.00040875,6.85712E-05,FALSE
2905.908142,1.000377044,6.85209E-05,FALSE
2905.928574,1.000449899,6.84558E-05,FALSE
2905.949006,1.000327278,6.83765E-05,FALSE
2905.969439,1.000332135,6.83083E-05,FALSE
2905.989871,1.000281412,6.82287E-05,FALSE
2906.010303,1.000009776,6.81712E-05,FALSE
2906.030735,1.000054688,6.81201E-05,FALSE
2906.051167,0.999970953,6.86929E-05,TRUE
2906.071599,1.000074503,6.87024E-05,FALSE
2906.092032,0.999694208,6.86512E-05,FALSE
2906.112464,0.99988362,6.86163E-05,FALSE
2906.132896,1.000216436,6.85596E-05,FALSE
2906.153328,1.000089738,6.84957E-05,FALSE
2906.17376,1.000368478,6.84252E-05,FALSE
2906.194192,1.000409688,6.83607E-05,FALSE
2906.214624,1.000170856,6.82965E-05,FALSE
2906.235057,1.000039192,6.82203E-05,FALSE
2906.255489,1.000305545,6.81828E-05,FALSE
2906.275921,1.000176391,6.81251E-05,FALSE
2906.296353,1.00040648,6.87768E-05,TRUE
2906.316785,1.000264477,6.87821E-05,FALSE
2906.337217,1.000059876,6.87473E-05,FALSE
2906.35765,0.999888323,6.86947E-05,FALSE
2906.378082,0.999905168,6.86282E-05,FALSE
2906.398514,1.0000052,6.85768E-05,FALSE
2906.418946,0.999954633,6.85264E-05,FALSE
2906.439378,1.000084868,6.84669E-05,FALSE
2906.45981,1.000195418,6.84026E-05,FALSE
2906.480243,1.000023571,6.83265E-05,FALSE
2906.500675,1.00020712,6.82572E-05,FALSE
2906.521107,1.000107365,6.82056E-05,FALSE
2906.541539,1.000424639,6.87695E-05,TRUE
2906.561971,1.000155583,6.8774E-05,FALSE
2906.582403,1.000002211,6.87177E-05,FALSE
2906.602835,1.000049012,6.86598E-05,FALSE
2906.623268,0.999921794,6.86022E-05,FALSE
2906.6437,0.999923261,6.85459E-05,FALSE
2906.664132,1.000088691,6.84849E-05,FALSE
2906.684564,1.000044751,6.84295E-05,FALSE
2906.704996,1.000058449,6.83513E-05,FALSE
2906.725428,1.000232161,6.82907E-05,FALSE
2906.74586,1.000135309,6.82275E-05,FALSE
2906.766292,1.000233449,6.81696E-05,FALSE
2906.786725,1.000469174,6.88276E-05,TRUE
2906.807157,1.000280413,6.88288E-05,FALSE
2906.827589,0.999950303,6.87891E-05,TRUE
2906.848021,1.000050179,6.87405E-05,FALSE
2906.868453,1.000019443,6.86805E-05,FALSE
2906.888885,0.999976774,6.86305E-05,FALSE
2906.909317,0.999904469,6.8589E-05,FALSE
2906.92975,0.999965233,6.85271E-05,FALSE
2906.950182,1.000108835,6.84814E-05,FALSE
2906.970614,1.000199795,6.84201E-05,FALSE
2906.991046,1.000098736,6.834E-05,FALSE
2907.011478,1.000290239,6.82869E-05,FALSE
2907.03191,1.000079015,6.87692E-05,TRUE
2907.052342,1.000321861,6.87735E-05,FALSE
2907.072775,1.00024734,6.87168E-05,FALSE
2907.093207,1.000056757,6.86554E-05,FALSE
2907.113639,0.99997407,6.86026E-05,FALSE
2907.134071,1.000097998,6.85508E-05,FALSE
2907.154503,1.000174384,6.84964E-05,FALSE
2907.174935,1.000200538,6.84352E-05,FALSE
2907.195367,1.000226398,6.83681E-05,FALSE
2907.2158,1.000366782,6.83031E-05,FALSE
2907.236232,1.000494613,6.82412E-05,FALSE
2907.256664,1.000283809,6.81878E-05,FALSE
2907.277096,1.004766356,6.67178E-05,TRUE
2907.297528,1.000133149,6.91134E-05,FALSE
2907.31796,1.000053074,6.90712E-05,FALSE
2907.338392,0.99976889,6.90074E-05,FALSE
2907.358824,0.99950895,6.89609E-05,FALSE
2907.379257,1.000044266,6.89094E-05,FALSE
2907.399689,1.000065879,6.88819E-05,FALSE
2907.420121,1.000207531,6.88418E-05,FALSE
2907.440553,1.000229102,6.88074E-05,FALSE
2907.460985,1.000240824,6.87732E-05,FALSE
2907.481417,1.000419039,6.8732E-05,FALSE
2907.501849,1.000254619,6.86879E-05,FALSE
2907.522281,1.000230873,6.86569E-05,FALSE
2907.542714,1.000374992,6.86183E-05,FALSE
2907.563146,1.000146921,6.85786E-05,FALSE
2907.583578,0.999668658,6.85285E-05,FALSE
2907.60401,0.99889151,6.84582E-05,TRUE
2907.624442,0.998757073,6.83938E-05,TRUE
2907.644874,0.99872214,6.83589E-05,TRUE
2907.665306,0.99864928,6.8321E-05,TRUE
2907.685738,0.998900285,6.82692E-05,FALSE
2907.70617,0.999990634,6.82631E-05,FALSE
2907.726603,1.000349842,6.82262E-05,FALSE
2907.747035,1.000327576,6.81927E-05,FALSE
2907.767467,1.000191835,6.86202E-05,TRUE
2907.787899,1.000258381,6.86376E-05,FALSE
2907.808331,1.000241066,6.85817E-05,FALSE
2907.828763,1.000192873,6.85446E-05,FALSE
2907.849195,1.000115243,6.85058E-05,FALSE
2907.869628,1.000130904,6.84594E-05,FALSE
2907.89006,1.000188038,6.84319E-05,FALSE
2907.910492,1.000158264,6.83765E-05,FALSE
2907.930924,1.000166524,6.83375E-05,FALSE
2907.951356,1.000078617,6.82746E-05,FALSE
2907.971788,1.00013729,6.82175E-05,FALSE
2907.99222,1.000276335,6.81802E-05,FALSE
2908.012652,1.000338672,6.88065E-05,TRUE
2908.033084,1.000087197,6.88109E-05,FALSE
2908.053516,0.999907781,6.87559E-05,FALSE
2908.073948,0.999884248,6.87085E-05,FALSE
2908.094381,1.000123794,6.86705E-05,FALSE
2908.114813,0.999935354,6.86257E-05,FALSE
2908.135245,1.000095711,6.8582E-05,FALSE
2908.155677,1.000138543,6.85437E-05,FALSE
2908.176109,1.000025033,6.84874E-05,FALSE
2908.196541,1.0000686,6.84357E-05,FALSE
2908.216973,1.000080285,6.83806E-05,FALSE
2908.237405,0.999904245,6.83339E-05,FALSE
2908.257838,1.000139843,6.8877E-05,TRUE
2908.27827,1.000030516,6.88753E-05,FALSE
2908.298702,1.000249368,6.88233E-05,FALSE
2908.319134,0.999842145,6.87841E-05,FALSE
2908.339566,1.000087727,6.87461E-05,FALSE
2908.359998,1.00012764,6.87008E-05,FALSE
2908.38043,1.000070332,6.86633E-05,FALSE
2908.400862,1.000071107,6.86182E-05,FALSE
2908.421294,1.000286725,6.85821E-05,FALSE
2908.441727,1.000229245,6.85216E-05,FALSE
2908.462159,0.999975926,6.84638E-05,FALSE
2908.482591,1.000089556,6.8408E-05,FALSE
2908.503023,1.000191946,6.86916E-05,TRUE
2908.523455,1.000148456,6.88675E-05,FALSE
2908.543887,1.000104876,6.88143E-05,TRUE
2908.564319,1.000177758,6.8785E-05,FALSE
2908.584751,0.999930863,6.87325E-05,FALSE
2908.605183,1.000094013,6.86883E-05,FALSE
2908.625615,1.000295384,6.86511E-05,FALSE
2908.646047,1.000108936,6.8607E-05,FALSE
2908.666479,0.999978635,6.85608E-05,FALSE
2908.686912,1.00010222,6.85221E-05,FALSE
2908.707344,1.000127168,6.84779E-05,FALSE
2908.727776,0.999971404,6.84252E-05,FALSE
2908.748208,1.000103905,6.8375E-05,FALSE
2908.76864,1.000142351,6.83266E-05,FALSE
2908.789072,0.999862852,6.82677E-05,FALSE
2908.809504,0.999974644,6.82169E-05,FALSE
2908.829936,1.000494664,6.81841E-05,FALSE
2908.850368,1.000149512,6.81215E-05,FALSE
2908.8708,0.999996211,6.80842E-05,FALSE
2908.891232,1.000211022,6.80285E-05,FALSE
2908.911665,1.000082553,6.79807E-05,FALSE
2908.932097,1.000149956,6.79492E-05,FALSE
2908.952529,1.000162171,6.79228E-05,FALSE
2908.972961,1.000146345,6.78966E-05,FALSE
2908.993393,1.000083254,6.87841E-05,TRUE
2909.013825,1.00000797,6.88253E-05,FALSE
2909.034257,1.000213979,6.87759E-05,FALSE
2909.054689,0.999987918,6.87239E-05,FALSE
2909.075121,1.000052427,6.86985E-05,FALSE
2909.095553,1.000252313,6.86643E-05,FALSE
2909.115985,1.00023278,6.86494E-05,FALSE
2909.136418,0.999977331,6.85803E-05,FALSE
2909.15685,1.000043931,6.85534E-05,FALSE
2909.177282,1.000244912,6.85156E-05,FALSE
2909.197714,1.000176776,6.84666E-05,FALSE
2909.218146,1.000084083,6.84227E-05,FALSE
2909.238578,1.001159289,6.85135E-05,TRUE
2909.25901,0.999852902,6.85355E-05,FALSE
2909.279442,1.00012286,6.85164E-05,FALSE
2909.299874,1.000122811,6.84871E-05,FALSE
2909.320306,1.000033163,6.84411E-05,FALSE
2909.340738,1.000104475,6.84102E-05,FALSE
2909.36117,1.000140698,6.83879E-05,FALSE
2909.381602,1.000115714,6.83373E-05,FALSE
2909.402035,1.000298324,6.83145E-05,FALSE
2909.422467,1.000161416,6.82826E-05,FALSE
2909.442899,1.000022638,6.82291E-05,FALSE
2909.463331,1.000157424,6.81945E-05,FALSE
2909.483763,1.000196358,6.86299E-05,TRUE
2909.504195,1.000158132,6.86775E-05,FALSE
2909.524627,0.999935459,6.86421E-05,FALSE
2909.545059,1.000119347,6.8611E-05,FALSE
2909.565491,1.000228143,6.85875E-05,FALSE
2909.585923,1.000141707,6.85608E-05,FALSE
2909.606355,1.000013089,6.85288E-05,FALSE
2909.626787,0.999981297,6.84993E-05,FALSE
2909.647219,1.000103103,6.84741E-05,FALSE
2909.667651,1.000039369,6.84516E-05,FALSE
2909.688084,0.999841712,6.84086E-05,FALSE
2909.708516,0.999716946,6.83797E-05,FALSE
2909.728948,0.999727648,6.87454E-05,TRUE
2909.74938,0.999693894,6.87822E-05,FALSE
2909.769812,0.999919502,6.87659E-05,FALSE
2909.790244,1.000039866,6.87108E-05,FALSE
2909.810676,1.000040607,6.86856E-05,FALSE
2909.831108,1.000070785,6.86639E-05,FALSE
2909.85154,1.000004186,6.86301E-05,FALSE
2909.871972,1.000137438,6.86049E-05,FALSE
2909.892404,0.999969402,6.85726E-05,FALSE
2909.912836,1.000156363,6.85636E-05,FALSE
2909.933268,0.999984132,6.85198E-05,FALSE
2909.9537,1.000246048,6.84899E-05,FALSE
2909.974133,1.000218957,6.84433E-05,FALSE
2909.994564,1.000231046,6.84036E-05,FALSE
2910.014997,1.000134237,6.83698E-05,FALSE
2910.035429,1.00013657,6.8342E-05,FALSE
2910.055861,1.000097405,6.82902E-05,FALSE
2910.076293,1.000181248,6.82659E-05,FALSE
2910.096725,0.999941796,6.82352E-05,FALSE
2910.117157,0.999634171,6.81661E-05,FALSE
2910.137589,0.999258756,6.81183E-05,FALSE
2910.158021,0.999324611,6.80965E-05,FALSE
2910.178453,0.999300679,6.80631E-05,FALSE
2910.198885,0.999665793,6.80249E-05,FALSE
2910.219317,1.000238969,6.84872E-05,TRUE
2910.239749,1.000330957,6.84994E-05,FALSE
2910.260181,1.000147803,6.84519E-05,FALSE
2910.280613,1.000254595,6.84221E-05,FALSE
2910.301046,1.000009581,6.8366E-05,FALSE
2910.321477,1.000323658,6.83474E-05,FALSE
2910.34191,1.000163852,6.83071E-05,FALSE
2910.362342,1.000503983,6.82797E-05,FALSE
2910.382774,1.00077431,6.82466E-05,FALSE
2910.403206,1.000479812,6.82153E-05,FALSE
2910.423638,1.00018704,6.81823E-05,FALSE
2910.44407,1.000477495,6.81451E-05,FALSE
2910.464502,1.00033619,6.85462E-05,TRUE
2910.484934,1.000151791,6.85436E-05,FALSE
2910.505366,1.000066923,6.85033E-05,FALSE
2910.525798,1.000294982,6.8476E-05,FALSE
2910.54623,1.000223665,6.84375E-05,FALSE
2910.566662,1.000211013,6.83966E-05,FALSE
2910.587094,1.000204695,6.83529E-05,FALSE
2910.607526,1.000541374,6.83386E-05,FALSE
2910.627958,1.000382198,6.82773E-05,FALSE
2910.64839,1.000347952,6.82321E-05,FALSE
2910.668822,1.000244769,6.82001E-05,FALSE
2910.689254,1.000527005,6.8164E-05,FALSE
2910.709686,1.000343089,6.85375E-05,TRUE
2910.730118,1.000310796,6.85506E-05,FALSE
2910.750551,1.000200079,6.85102E-05,FALSE
2910.770982,1.000030644,6.84785E-05,FALSE
2910.791415,1.000092521,6.8446E-05,FALSE
2910.811847,1.000221789,6.84198E-05,FALSE
2910.832279,1.000134378,6.83806E-05,FALSE
2910.852711,0.999577764,6.8335E-05,FALSE
2910.873143,0.999558414,6.83054E-05,FALSE
2910.893575,0.999541362,6.8273E-05,FALSE
2910.914007,0.999869601,6.8242E-05,FALSE
2910.934439,1.000080444,6.82194E-05,FALSE
2910.954871,1.000115699,6.87674E-05,TRUE
2910.975303,0.999917194,6.87791E-05,FALSE
2910.995735,1.000040405,6.87593E-05,FALSE
2911.016167,1.00006203,6.87045E-05,FALSE
2911.036599,1.000184539,6.86844E-05,FALSE
2911.057031,1.000002175,6.86581E-05,FALSE
2911.077463,1.000097021,6.86274E-05,FALSE
2911.097895,0.999928695,6.86041E-05,FALSE
2911.118327,1.000065717,6.85606E-05,FALSE
2911.138759,1.000159824,6.85398E-05,FALSE
2911.159191,0.999914424,6.85017E-05,FALSE
2911.179623,1.000052156,6.84855E-05,FALSE
2911.200055,0.999468708,6.8277E-05,TRUE
2911.220487,1.000184321,6.87467E-05,FALSE
2911.240919,1.000074546,6.87223E-05,FALSE
2911.261352,1.000169701,6.87071E-05,FALSE
2911.281783,1.000022598,6.86947E-05,FALSE
2911.302215,1.000032999,6.8673E-05,FALSE
2911.322648,1.000169569,6.86558E-05,TRUE
2911.34308,1.000181056,6.86313E-05,FALSE
2911.363512,1.000052423,6.86105E-05,FALSE
2911.383944,1.000120114,6.85916E-05,FALSE
2911.404376,1.00004397,6.85617E-05,FALSE
2911.424808,0.999918344,6.85549E-05,FALSE
2911.44524,1.000264078,6.85508E-05,FALSE
2911.465672,1.000146915,6.85386E-05,FALSE
2911.486104,0.999991466,6.85179E-05,FALSE
2911.506536,1.000222551,6.84981E-05,FALSE
2911.526968,1.000108559,6.84768E-05,FALSE
2911.5474,1.000262854,6.84488E-05,FALSE
2911.567832,1.000042485,6.83902E-05,FALSE
2911.588264,1.00013921,6.83783E-05,FALSE
2911.608696,1.000368707,6.83641E-05,FALSE
2911.629128,1.000176682,6.83302E-05,FALSE
2911.64956,1.00039291,6.83208E-05,FALSE
2911.669992,1.000357336,6.82871E-05,FALSE
2911.690424,0.999976592,6.90657E-05,TRUE
2911.710856,0.999899311,6.91596E-05,FALSE
2911.731288,1.000017905,6.9112E-05,FALSE
2911.75172,1.000187219,6.90648E-05,FALSE
2911.772152,1.000290652,6.90495E-05,FALSE
2911.792584,1.000088414,6.90057E-05,FALSE
2911.813016,1.000029465,6.89876E-05,FALSE
2911.833448,1.000189296,6.89536E-05,FALSE
2911.85388,1.000070016,6.89222E-05,FALSE
2911.874312,1.000000612,6.89007E-05,FALSE
2911.894744,1.000060763,6.88859E-05,FALSE
2911.915176,0.999953393,6.88543E-05,FALSE
2911.935608,1.000147609,6.88373E-05,FALSE
2911.95604,0.99986795,6.87945E-05,FALSE
2911.976472,1.000040553,6.87572E-05,FALSE
2911.996904,1.000226583,6.87442E-05,FALSE
2912.017336,1.000058943,6.87198E-05,FALSE
2912.037768,1.000006166,6.87004E-05,FALSE
2912.0582,0.999862306,6.86699E-05,FALSE
2912.078632,0.999679546,6.86638E-05,FALSE
2912.099064,0.99963773,6.86293E-05,FALSE
2912.119496,1.000115064,6.8626E-05,FALSE
2912.139928,1.000303638,6.86086E-05,FALSE
2912.16036,1.000143589,6.85886E-05,FALSE
2912.180792,1.00011176,6.85542E-05,FALSE
2912.201224,0.999946446,6.85406E-05,FALSE
2912.221656,1.000080406,6.85302E-05,FALSE
2912.242088,1.000397565,6.85119E-05,FALSE
2912.26252,1.000152852,6.84971E-05,FALSE
2912.282952,1.00009235,6.84751E-05,FALSE
2912.303384,1.000377703,6.84638E-05,FALSE
2912.323816,1.000295784,6.84305E-05,FALSE
2912.344248,1.000260683,6.8411E-05,FALSE
2912.364681,1.000479329,6.83945E-05,FALSE
2912.385112,1.000372799,6.83671E-05,FALSE
2912.405544,1.000400783,6.83446E-05,FALSE
2912.425977,1.000200586,6.91257E-05,TRUE
2912.446408,1.000228334,6.91564E-05,FALSE
2912.466841,1.000150732,6.91125E-05,FALSE
2912.487273,1.00015987,6.90843E-05,FALSE
2912.507704,1.000372012,6.90555E-05,FALSE
2912.528137,1.00026413,6.90251E-05,FALSE
2912.548569,1.000058171,6.89823E-05,FALSE
2912.569,0.999945714,6.89676E-05,FALSE
2912.589433,0.999959541,6.89301E-05,FALSE
2912.609864,0.999979729,6.89164E-05,FALSE
2912.630296,0.999763615,6.88761E-05,FALSE
2912.650729,1.000134018,6.88574E-05,FALSE
2912.67116,1.000096692,6.88335E-05,FALSE
2912.691592,1.000139681,6.88289E-05,FALSE
2912.712024,1.000058411,6.88146E-05,FALSE
2912.732456,1.00006591,6.87886E-05,FALSE
2912.752888,1.000141626,6.87629E-05,FALSE
2912.77332,1.000170827,6.87431E-05,FALSE
2912.793752,0.999993865,6.87061E-05,FALSE
2912.814184,1.000310839,6.87054E-05,FALSE
